id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,servico_bruto,servico_normalizado,servico_oficial,categoria,regra_disparada,municipio_conflitante_sem_cadastro
I0002,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,2,un,,,,,consolidado_2026_03_03.txt,Hidrômetros instalados: 2,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,consolidado_2026_03_03.txt,Intradomiciliares: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0004,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,consolidado_2026_03_03.txt,Hidrômetros instalados: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0005,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,consolidado_2026_03_03.txt,Caixas UMA instaladas: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0006,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Ramais água,Execução de ramais de água,ramal_agua,servico,7,un,,,,,consolidado_2026_03_03.txt,Ramais água: 7,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,16,m,PEAD,Ø63,,,consolidado_2026_03_03.txt,Prolongamento rede água (PEAD Ø63): 16 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0008,F004,03/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 7,Ramais água,Execução de ramais de água,ramal_agua,servico,15,un,,,,,consolidado_2026_03_03.txt,Ramais água: 15,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0009,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Interligação Ø63 x Ø63,Execução de interligação de rede Ø63 x Ø63,interligacao,servico,1,un,,,,,consolidado_2026_03_03.txt,Interligação Ø63 x Ø63: 1,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0010,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Prolongamento rede,Prolongamento de rede,rede_agua,servico,29,m,,Ø63,,,consolidado_2026_03_03.txt,Prolongamento rede (Ø63): 29 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0011,F006,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,10,vala,,,10 valas recompostas (Av. Dep. Emílio Carlos),,consolidado_2026_03_03.txt,10 valas recompostas (Av. Dep. Emílio Carlos),,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
